lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
human 인간
fall 떨어지다
flat 편평한
apple 사과
banana 바나나
have 가지다
do 하다
know 알다
see 보다
get 얻다
think 생각하다
go 가다
make 만들다
take 취하다
come 오다
say 말하다
put 놓다
want 원하다
give 주다
look 보다
find 찾다
need 필요로하다
like 좋아하다
use 사용하다
keep 유지하다
apricot 살구
avocado 아보카도
blackberry 블랙베리
blueberry 블루베리
cherry 체리
coconut 코코넛
cranberry 크랜베리
durian 두리안
fig 무화과
graph 포도
grapefruit 자몽
kiwi 키위
lime 라임
lychee 리치
chestnut 밤
walnut 호두
hazelnut 헤이즐넛
citron 유자
jujube 대추
plum 자두
animal 동물
alligator 악어
bear 곰
chicken 닭
duck 오리
eagle 독수리
gorilla 고릴라
hippo 하마
impala 임팔라
jaquar 재규어
koala 코알라
milkcow 젖소
nutria 뉴트리아
orrer 수달
panda 팬더
quail 메추라기
squirrel 다람쥐
turtle 거북이
unicorn 유니콘
vulture 대머리독수
walrus 물개
yak 야크
zebra 얼룩말
funt 펀트
sheep 양
horse 말
pig 돼지
airplane 비행기
bridge 다리
balloon 풍선
birthday 생일
market 시장
castle 성
peace 평화
newspaper 신문
kitchen 부엌
reason 이유
phone 전화
picnic 소풍
ceiling 천장
umbrella 우산
morning 아침
garden 정원
country 나라
dinner 저녁식사
corner 모퉁이
dessert 디저트
clock 시계
place 장소
example 예시
garbage 쓰레기
view 전망
shinee 샤이니
redvelvet 레드벨벳
fx 에프엑스
exo 엑소
nct 엔시티
lucifer 루시퍼
key 열쇠
professor 교수님
sorry 죄송합니다
eunjae 은재
